hccis_id,rpt_year,code,value,owner_hccis_id
1,2019,2038,0.24,1
1,2019,2040,31.89,1
1,2019,2041,,1
1,2019,2042,,1
1,2019,2043,,1
1,2019,2044,0.37,1
1,2019,2046,,1
1,2019,2047,0.43,1
1,2019,2048,,1
1,2019,2050,4.44,1
1,2019,2051,7,1
1,2019,2052,,1
1,2019,2053,,1
1,2019,2054,,1
1,2019,2056,,1
1,2019,2057,,1
1,2019,2058,,1
1,2019,2060,24,1
1,2019,2061,14,1
1,2019,2062,1,1
1,2019,2063,,1
1,2019,2064,1,1
1,2019,2066,3,1
1,2019,2067,,1
1,2019,2068,1,1
1,2019,2070,36,1
1,2019,2071,0.35,1
1,2019,2072,,1
1,2019,2073,,1
1,2019,2074,,1
1,2019,2076,,1
1,2019,2077,,1
1,2019,2078,,1
1,2019,2080,0.44,1
1,2019,2104,,1
1,2019,2114,,1
1,2019,2121,,1
1,2019,2122,,1
1,2019,2123,,1
1,2019,2125,218955,1
1,2019,2128,602469,1
1,2019,2131,,1
1,2019,2132,,1
1,2019,2133,,1
1,2019,7210,2,1
1,2019,7218,1,1
1,2019,7219,,1
1,2019,7220,1,1
1,2019,7221,,1
1,2019,7222,26,1
1,2019,7223,26,1
1,2019,7225,10489869,1
1,2019,7234,2215212,1
1,2019,7235,8274657,1
1,2019,7236,53024,1
1,2019,7238,20546,1
1,2019,7240,5137,1
1,2019,7242,,1
1,2019,7243,324429,1
1,2019,7244,589,1
1,2019,7245,613,1
1,2019,7248,,1
1,2019,7249,,1
1,2019,7250,7041895,1
1,2019,7251,589,1
1,2019,7252,24,1
1,2019,7253,1176847,1
1,2019,7255,11,1
1,2019,7256,,1
1,2019,7258,3,1
1,2019,7259,2650114,1
1,2019,7260,-3534059,1
1,2019,7261,123,1
1,2019,7263,-468821,1
1,2019,7264,,1
1,2019,7266,,1
1,2019,7421,,1
1,2019,7423,8,1
1,2019,7424,,1
1,2019,7425,21,1
1,2019,7426,60,1
1,2019,7427,,1
1,2019,7428,,1
1,2019,7429,37770,1
1,2019,7430,,1
1,2019,7431,,1
1,2019,7432,59407,1
1,2019,7433,73677,1
1,2019,7434,,1
1,2019,7435,125647,1
1,2019,7436,459739,1
1,2019,7438,,1
1,2019,7439,145195,1
1,2019,7440,5515,1
1,2019,7441,946934,1
1,2019,7461,,1
1,2019,7462,,1
1,2019,7463,20,1
1,2019,7464,,1
1,2019,7465,,1
1,2019,7466,,1
1,2019,7467,,1
1,2019,7468,,1
1,2019,7469,,1
1,2019,7475,,1
1,2019,7476,,1
1,2019,7477,,1
1,2019,7478,,1
