periodyear,planning.region,key,value,quarter,year.quarter
2008,Seven County Mpls-St Paul,totwage,21643531464,4,2008.4
2007,Seven County Mpls-St Paul,totwage,21457667602,4,2007.4
2006,Seven County Mpls-St Paul,totwage,20257875486,4,2006.4
2005,Seven County Mpls-St Paul,totwage,19436656309,4,2005.4
2004,Seven County Mpls-St Paul,totwage,19846014803,4,2004.4
2003,Seven County Mpls-St Paul,totwage,18067277988,4,2003.4
2002,Seven County Mpls-St Paul,totwage,17538454613,4,2002.4
2001,Seven County Mpls-St Paul,totwage,17367739447,4,2001.4
2020,Southeast,totwage,3694114403,4,2020.4
2019,Southeast,totwage,3499486270,4,2019.4
2018,Southeast,totwage,3352954226,4,2018.4
2017,Southeast,totwage,3081100316,4,2017.4
2016,Southeast,totwage,2974784570,4,2016.4
2015,Southeast,totwage,2945320611,4,2015.4
2014,Southeast,totwage,2717904133,4,2014.4
2013,Southeast,totwage,2746511854,4,2013.4
2012,Southeast,totwage,2689033649,4,2012.4
2011,Southeast,totwage,2532656476,4,2011.4
2010,Southeast,totwage,2844515115,4,2010.4
2009,Southeast,totwage,2427018509,4,2009.4
2008,Southeast,totwage,2455450089,4,2008.4
2007,Southeast,totwage,2360003357,4,2007.4
2006,Southeast,totwage,2190419536,4,2006.4
2005,Southeast,totwage,2070163580,4,2005.4
2004,Southeast,totwage,2093505235,4,2004.4
2003,Southeast,totwage,1948505810,4,2003.4
2002,Southeast,totwage,1960365312,4,2002.4
2001,Southeast,totwage,1868815720,4,2001.4
2020,Southwest,totwage,2155615788,4,2020.4
2019,Southwest,totwage,2014780302,4,2019.4
2018,Southwest,totwage,1962605803,4,2018.4
2017,Southwest,totwage,1897407443,4,2017.4
2016,Southwest,totwage,1811048120,4,2016.4
2015,Southwest,totwage,1818636139,4,2015.4
2014,Southwest,totwage,1728826081,4,2014.4
2013,Southwest,totwage,1695159099,4,2013.4
2012,Southwest,totwage,1590620222,4,2012.4
2011,Southwest,totwage,1522487513,4,2011.4
2010,Southwest,totwage,1515637705,4,2010.4
2009,Southwest,totwage,1460284859,4,2009.4
2008,Southwest,totwage,1475410599,4,2008.4
2007,Southwest,totwage,1421284349,4,2007.4
2006,Southwest,totwage,1401506662,4,2006.4
2005,Southwest,totwage,1309372265,4,2005.4
2004,Southwest,totwage,1318025893,4,2004.4
2003,Southwest,totwage,1224667814,4,2003.4
2002,Southwest,totwage,1195386408,4,2002.4
2001,Southwest,totwage,1143975271,4,2001.4
