County,People with at least one vaccine dose,People with completed vaccine series,reportedDate,webDate,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,mif,age.5plu
Pennington,8306,7867,2/6/2022,2022-02-08,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,NW,13222
Pine,14371,13408,2/6/2022,2022-02-08,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC,28226
Pipestone,4972,4648,2/6/2022,2022-02-08,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW,8477
Polk,17485,16324,2/6/2022,2022-02-08,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW,29186
Pope,6464,6097,2/6/2022,2022-02-08,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC,10625
Ramsey,406651,377620,2/6/2022,2022-02-08,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC,512658
Red Lake,2316,2182,2/6/2022,2022-02-08,125,A,Entirely rural,EDR 1 - Northwest,Northwest,NW,3810
Redwood,8524,8110,2/6/2022,2022-02-08,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW,14192
Renville,8176,7725,2/6/2022,2022-02-08,129,A,Entirely rural,EDR 6E- Southwest Central,Central,SW,13617
Rice,42884,40203,2/6/2022,2022-02-08,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE,63094
Rock,4960,4586,2/6/2022,2022-02-08,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,SW,8794
Roseau,8048,7623,2/6/2022,2022-02-08,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,NW,14291
Scott,105397,99060,2/6/2022,2022-02-08,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC,139139
Sherburne,50822,47767,2/6/2022,2022-02-08,141,D,Entirely urban,EDR 7W- Central,Central,EC,90672
Sibley,8121,7649,2/6/2022,2022-02-08,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE,14027
St. Louis,137016,129119,2/6/2022,2022-02-08,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE,189132
Stearns,88650,82787,2/6/2022,2022-02-08,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC,150596
Steele,23144,21683,2/6/2022,2022-02-08,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE,34504
Stevens,5742,5423,2/6/2022,2022-02-08,149,B,Town/rural mix,EDR 4 - West Central,Northwest,WC,9204
Swift,5476,5216,2/6/2022,2022-02-08,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW,8674
Todd,11327,10679,2/6/2022,2022-02-08,153,B,Town/rural mix,EDR 5 - North Central,Northwest,EC,23012
Traverse,2089,1983,2/6/2022,2022-02-08,155,A,Entirely rural,EDR 4 - West Central,Northwest,WC,3065
Wabasha,14069,13406,2/6/2022,2022-02-08,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE,20423
Wadena,6438,6067,2/6/2022,2022-02-08,159,B,Town/rural mix,EDR 5 - North Central,Northwest,EC,12753
Waseca,10949,10361,2/6/2022,2022-02-08,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE,17546
Washington,201983,191038,2/6/2022,2022-02-08,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC,247272
Watonwan,6723,6250,2/6/2022,2022-02-08,165,B,Town/rural mix,EDR 9 - South Central,Southwest,SE,10104
Wilkin,3476,3233,2/6/2022,2022-02-08,167,B,Town/rural mix,EDR 4 - West Central,Northwest,WC,5830
Winona,32256,30660,2/6/2022,2022-02-08,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE,48103
Wright,79528,74572,2/6/2022,2022-02-08,171,C,Urban/town/rural mix,EDR 7W- Central,Central,EC,128913
Yellow Medicine,5334,5052,2/6/2022,2022-02-08,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW,9149
