Month,County,Tax Rate,Year Imposed,year,local.sales.tax.revenue,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,MIF Region
November,Benton,5.0000000000000001E-3,2019,2004,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
December,Benton,5.0000000000000001E-3,2019,2004,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
Total,Benton,5.0000000000000001E-3,2019,2004,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
January,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
February,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
March,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
April,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
May,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
June,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
July,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
August,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
September,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
October,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
November,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
December,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
Total,Blue Earth,5.0000000000000001E-3,2016,2004,-,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
January,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
February,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
March,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
April,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
May,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
June,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
July,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
August,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
September,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
October,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
November,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
December,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
Total,Brown,5.0000000000000001E-3,2016,2004,-,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
January,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,Carlton,5.0000000000000001E-3,2015,2004,-,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
February,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
March,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
April,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
May,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
June,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
July,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
August,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
September,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
October,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
November,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
December,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
Total,Carver,5.0000000000000001E-3,2017,2004,-,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
January,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
February,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
March,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
April,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
May,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
June,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
July,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
August,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
September,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
October,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
November,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
December,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
Total,Cass,5.0000000000000001E-3,2016,2004,-,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
